"","V11","V207","V210","V223","V323","V375","V465","V533","V534","V535","V551","V555","V573","V661","V686","V754","V800","V1001","V1112","V1215","V1288","V1293","V1392","V1448","V1572","V1635","V1687","V1731","V1733","V1734","V1824","V1875","V2242","V2296","V2448","V2819","V2850","V2859","V2882","V2909","V2930","V2975","V3019","V3045","V3056","V3058","V3059","V3060","V3061","V3173","V3214","V3236","V3237","V3324","V3339","V3402","V3405","V3443","V3472","V3489","V3717","V3729","V3733","V3734","V3736","V3740","V3743","V4019","V4020","V4021","V4022","V4063","V4081","V4086","V4097","V4118","V4408","V4863","V4887","V4983","V4993","V4996","V5023","V5024","V5067","V5084","V5091","V5094","V5099","V5102","V5104","V5108","V5117","V5130","V5209","V5242","V5388","V5465","V5542","V5588","V5868","V5911","V6089","V6153","V6198","V6208","V6220","V6320","V6322","V6421","V6423","V6461","V6481","V6497","V6513","V6542","V6570","V6741","V6745","V6782","V6873","V7013","V7104","V7105","V7118","V7228","V7229","V7249","V7333","V7340","V7437","V7533","V7566","V7605","V7606","V7616","V7769","V7772","V7787","V7789","V7800","V7849","V7871","V7886","V7887","V7890","V8278","V8313","V8317","V8473","V8570","V8919","V8969","V9046","V9078","V9088","V9228","V9300","V9315","V9318","V9354","V9472","V9689","V9954","V9976","V10038","V10249","V10338","V10366","V10654","V10656","V10662","V10663","V10733","V10735","V10807","V10811","V10905","V11042","V11097","V11180","V11185","V11280","V11415","V11619","V11652","V12239","V12243","V12248","V12297","V12405","V12449","V12508","V12509","V12588","V12620","V12638","V12676","V12712","V12731","V12762","V12853","V12922","V13019","V13030","V13033","V13041","V13082","V13083","V13084","V13108","V13149","V13165","V13267","V13314","V13323","V13387","V13613","V13616","V13621","V13640","V13772","V13789","V13823","V13920","V14003","V14208","V14264","V14265","V14266","V14267","V14268","V14388","V14393","V14466","V14627","V14628","V14632","V14633","V14634","V14636","V14639","V14641","V14642","V14645","V14653","V14654","V14658","V14668","V14670","V14671","V14672","V14676","V14677","V14678","V14681","V14683","V14684","V14685","V14703","V14706","V14707","V14708","V14710","V14713","V14714","V14716","V14717","V14718","V14721","V14722","V14724","V14727","V14728","V14732","V14734","V14735","V14747","V14748","V14873","V14883","V14999","V15001","V15070","V15198","V15210","V15212","V15217","V15223","V15354","V15613","V15621","V15623","V15635","V15639","V15749","V15759","V16055","V16056","V16057","V16058","V16135","V16174","V16318","V16346"
"1",1,14,327,13,0,0,6,0,0,5,0,4,5,1,8,3,32,6,7,9,6,13,11,6,6,2,5,16,14,17,4,0,4,28,1,46,62,2,0,5,5,1,4,4,4,151,7,1305,430,0,26,0,0,8,21,26,12,4,560,4,9,3,242,111,13,127,0,1238,1187,102,6,76,2,27,1,17,20,0,24,16,380,31,8,1,78,6,8,9,8,35,11,12,18,3,7,7,13,14,6,5,44,3,3,8,2,4,14,112,53,0,3,9,13,37,8,0,36,12,8,7,38,0,0,0,21,22,28,7,3,16,3,1,2,8,2,14,13,43,171,96,14,1,4,12,4,1,73,4,12,2,4,18,29,14,6,54,1,0,8,8,0,25,0,12,4,27,5,4,3,5,12,3,4,0,0,9,8,16,40,2,6,27,0,31,2,0,21,10,8,3,15,7,0,0,0,13,0,1,1,10,2,2,165,1,6,21,5,33,114,22,2,9,12,33,7,0,0,412,686,25,1,1,8,0,17,7,2,1767,356,11,19,10,8,4,5,319,55,128,148,15,108,109,25,27,43,38,104,78,14,143,32,9,62,275,44,168,106,18,120,32,149,58,91,69,110,126,175,26,19,36,42,94,126,87,14,94,94,139,136,0,6,0,0,10,9,13,0,119,35,7,15,6,10,16,11,8,6,19,23,12,25,14,26,319,0
"2",1,6,289,0,0,0,5,0,1,2,2,5,23,1,2,0,8,3,0,16,13,15,12,4,1,3,13,16,8,0,0,0,0,5,0,41,55,4,0,5,1,1,9,3,3,171,29,997,346,0,9,0,0,5,17,1,10,11,260,1,3,18,270,74,2,107,0,732,711,128,5,16,5,0,4,0,2,0,0,23,407,20,3,0,101,4,6,6,7,25,9,4,0,2,3,7,0,0,3,5,37,0,5,1,1,0,10,172,75,0,0,5,9,25,1,0,22,20,4,9,39,0,0,0,19,20,20,4,3,8,0,2,2,12,6,3,10,19,62,26,6,1,1,4,3,1,34,0,10,0,5,0,39,6,6,25,1,3,2,5,3,3,0,3,2,7,4,4,1,6,1,0,62,0,0,0,7,28,1,0,3,0,0,26,6,1,27,11,15,0,21,5,0,0,0,3,0,0,4,8,1,0,292,3,0,8,2,65,81,22,0,9,10,18,5,0,1,399,837,43,8,0,3,0,1,11,5,1888,914,13,0,0,5,10,8,244,34,105,126,14,74,85,13,12,39,19,71,60,13,110,40,15,32,194,41,100,88,42,128,36,97,20,61,53,56,73,171,44,9,25,28,65,66,76,7,62,104,85,64,6,0,0,0,2,3,5,1,40,13,5,16,6,13,14,13,3,8,18,3,12,11,33,2,269,0
"3",12,12,304,8,0,0,15,0,0,4,2,7,9,2,1,1,28,3,5,7,9,12,36,7,1,13,8,9,11,13,31,0,0,1,0,15,62,2,1,2,6,7,6,9,5,426,33,1894,801,1,12,0,0,21,30,0,3,8,914,0,5,13,465,139,0,131,0,1164,939,174,11,166,0,5,0,3,3,0,5,15,223,21,3,1,88,2,4,3,5,25,10,5,4,9,2,18,1,24,14,5,24,3,8,21,6,2,12,202,85,0,9,4,6,16,5,0,0,13,6,5,26,0,2,14,8,21,18,0,2,7,1,0,4,9,3,8,4,60,21,112,9,0,3,1,14,0,57,2,5,0,6,13,42,7,0,0,1,0,1,4,2,1,0,14,0,8,12,3,4,22,4,0,17,2,0,11,8,10,0,8,5,11,0,24,4,1,18,17,15,0,9,4,0,0,0,4,1,0,4,7,0,0,404,3,3,6,3,92,78,15,10,4,2,23,5,0,0,679,990,72,0,4,6,1,7,10,1,2053,703,15,19,27,9,11,13,234,22,106,119,13,79,88,14,18,28,29,99,42,23,110,31,10,35,191,34,118,97,4,90,20,107,29,67,33,77,70,110,15,11,29,39,80,110,86,7,75,66,81,88,1,0,0,0,2,4,2,0,361,31,1,17,8,15,19,18,16,4,14,15,8,9,59,15,395,0
"4",1,55,404,16,0,16,1,0,1,1,1,12,0,13,21,11,4,6,4,8,10,11,81,2,5,1,9,14,2,2,2,0,0,0,3,20,45,9,1,9,2,8,4,16,2,222,50,862,322,14,20,0,0,4,2,7,7,18,282,1,8,12,403,105,1,307,0,657,487,79,31,39,0,11,7,6,3,0,4,9,278,12,8,0,57,5,6,13,4,6,6,2,11,4,9,0,10,0,2,3,25,0,2,7,2,13,12,125,107,0,0,4,47,13,8,3,140,7,4,8,51,1,3,3,13,20,14,2,9,7,23,13,1,6,2,7,3,16,16,65,5,0,11,6,26,6,67,2,15,1,7,7,27,10,12,35,0,9,2,7,1,3,7,7,3,10,8,2,3,0,0,0,3,4,0,3,13,11,5,1,3,11,0,12,7,3,27,12,8,2,10,3,1,0,2,22,1,2,1,8,4,6,296,0,5,8,6,99,32,31,3,7,8,39,6,0,0,522,886,65,2,3,6,0,7,14,8,1381,481,11,40,3,7,7,3,224,36,83,138,19,94,79,15,21,40,48,76,61,10,96,26,13,28,136,28,102,96,11,70,34,117,33,58,30,86,59,126,35,16,29,34,89,57,59,16,62,69,64,65,5,64,0,0,29,7,3,0,311,10,11,14,9,2,17,20,7,13,19,9,1,13,128,11,282,0
"5",0,96,128,15,0,3,9,6,20,15,1,7,0,0,4,2,3,7,7,7,4,10,34,2,7,0,15,23,1,3,0,0,3,0,1,19,22,28,0,9,10,4,6,38,0,121,11,573,194,0,20,0,0,3,0,27,8,18,306,1,5,9,170,45,0,139,1,725,699,51,7,3,0,0,1,1,3,0,1,16,367,24,8,1,32,3,8,4,2,5,10,4,23,11,20,0,6,1,3,1,28,8,1,5,2,10,3,110,471,0,4,10,44,8,3,1,4,4,0,13,5,2,3,0,19,18,26,1,9,2,4,2,8,9,5,11,13,21,7,82,7,0,15,3,32,1,63,0,6,1,27,14,9,43,5,96,4,0,11,8,10,7,1,3,4,12,5,1,3,9,12,0,3,6,0,9,16,11,2,4,3,30,0,13,2,7,16,18,3,0,17,3,0,0,0,1,0,0,0,6,6,1,176,21,2,17,3,10,37,0,4,3,9,48,5,0,0,332,693,21,6,4,3,0,7,12,8,402,47,4,8,14,12,17,16,272,44,129,144,24,62,97,32,9,45,40,82,76,17,122,31,26,37,179,58,119,97,13,77,32,140,27,77,37,92,119,140,41,18,32,41,87,72,77,9,74,93,92,60,8,0,0,0,5,3,4,1,60,6,26,10,3,8,7,17,8,8,14,6,1,5,54,13,155,0
"6",1,129,413,33,0,18,2,0,0,0,0,2,7,2,19,9,12,18,6,11,6,13,6,5,35,3,12,14,8,1,0,0,0,0,3,20,16,23,1,6,17,4,0,11,9,103,18,766,224,0,12,0,0,13,1,5,21,23,325,3,1,7,217,53,0,38,0,688,471,54,6,4,3,0,2,3,6,0,7,24,349,22,9,1,25,7,2,3,6,2,10,5,15,1,12,3,6,0,2,4,30,6,0,10,1,0,5,60,63,0,11,4,53,17,4,2,4,16,0,10,7,1,0,0,23,10,15,0,5,4,34,2,37,6,5,6,2,13,27,22,2,0,2,4,143,0,23,1,11,16,5,6,18,40,16,40,8,0,13,2,18,15,0,7,1,34,5,4,6,13,6,0,115,8,1,5,7,13,4,16,6,7,0,4,1,14,31,16,8,1,9,2,0,0,0,0,0,1,0,7,12,11,212,14,8,18,1,26,39,12,0,6,16,28,9,0,0,196,489,24,10,0,2,0,10,19,4,347,1,2,0,0,14,27,48,304,38,139,84,19,94,95,27,25,35,45,76,91,12,132,44,15,48,196,41,135,116,21,64,29,88,30,85,29,87,88,128,17,30,35,28,92,106,71,12,85,77,130,85,22,623,0,0,8,8,6,0,10,5,67,11,5,6,7,26,1,12,21,3,1,8,11,5,90,0
"7",3,29,325,6,0,21,1,14,22,17,2,29,19,1,19,5,7,2,3,11,9,4,21,1,21,0,19,7,14,6,0,7,1,0,0,20,27,9,0,8,7,2,3,8,0,93,11,466,148,0,12,0,0,12,0,7,13,11,183,22,0,8,312,53,4,141,0,809,969,114,0,14,10,9,2,18,6,9,10,10,222,14,7,17,25,11,3,5,5,3,7,6,8,7,23,5,31,22,5,10,17,7,4,3,1,14,8,244,203,0,2,7,51,3,12,1,106,3,3,5,4,1,5,12,19,17,9,0,7,9,47,0,2,6,4,7,8,22,17,7,4,0,2,3,37,8,30,15,4,7,13,10,25,57,4,54,2,2,21,6,13,9,0,9,0,53,27,3,2,6,1,0,4,28,0,7,2,6,26,5,5,15,0,16,6,6,22,9,2,0,19,0,0,0,0,2,0,5,3,9,14,8,177,20,8,8,7,45,29,12,0,4,9,19,4,0,0,529,1124,30,3,9,4,0,11,5,2,1600,230,7,0,21,5,2,17,172,37,129,108,12,84,93,8,12,52,28,86,81,11,105,29,10,31,166,46,100,86,13,73,33,138,37,73,46,96,73,83,34,20,24,38,66,83,79,9,68,87,92,53,3,223,0,0,26,6,14,2,66,5,22,9,7,6,8,14,2,13,16,3,3,8,60,19,223,0
"8",5,22,217,11,0,31,3,0,1,3,0,2,3,3,23,10,14,6,7,6,7,9,10,3,13,10,6,15,6,12,0,4,0,9,0,19,58,18,0,10,5,2,5,39,2,185,9,683,167,0,17,1,0,13,3,5,17,11,323,0,3,4,266,58,4,128,0,668,735,77,9,12,2,55,12,10,3,0,5,26,302,10,4,21,32,6,3,5,3,2,6,9,8,18,22,1,4,8,1,4,28,1,2,4,2,4,8,163,73,0,7,5,85,18,6,0,195,5,3,8,7,2,0,0,15,20,36,0,6,2,107,1,7,18,12,4,2,13,27,38,1,1,4,7,20,5,52,2,5,1,7,19,36,77,30,59,2,0,14,1,1,7,0,7,2,11,3,13,0,37,133,25,156,4,0,8,20,9,12,3,5,21,0,19,6,6,25,21,4,1,9,1,0,0,0,3,1,7,3,10,10,14,319,10,5,7,4,27,38,30,8,1,9,13,2,0,0,639,1399,68,5,0,23,0,14,12,10,1141,203,3,15,6,9,11,10,239,36,101,94,5,65,67,23,8,37,36,54,64,10,101,25,12,33,154,21,104,86,11,66,36,117,22,65,38,57,81,108,29,19,26,26,76,63,71,3,54,51,69,45,3,273,0,0,11,8,4,0,50,6,22,9,10,7,4,19,6,5,9,7,2,7,40,15,233,0
"9",2,43,276,13,0,27,3,1,1,10,0,12,1,8,16,3,13,12,6,7,6,10,33,2,0,6,5,12,11,3,12,0,3,2,2,20,26,4,0,1,2,3,4,43,8,322,39,996,375,0,6,0,2,4,4,3,4,12,465,6,2,8,746,127,13,257,0,865,456,169,7,35,1,3,0,3,2,1,20,10,227,15,3,1,51,6,6,5,5,11,10,4,19,6,23,4,9,1,6,2,25,0,1,1,7,8,16,248,232,0,1,5,58,14,6,28,34,6,7,11,36,0,0,2,7,14,22,19,5,3,23,10,3,5,2,3,6,21,15,10,2,0,0,5,3,0,72,1,3,2,9,2,42,7,2,18,1,2,3,6,5,5,15,7,2,8,3,5,2,16,46,4,47,6,0,3,4,11,15,2,4,9,0,9,1,1,14,9,11,1,14,4,1,0,0,5,3,11,2,5,1,7,292,11,7,6,2,88,65,17,8,2,7,20,2,0,0,605,997,111,1,9,26,1,2,19,11,454,44,2,0,2,8,6,36,152,26,91,74,8,50,57,21,7,19,28,60,66,8,89,19,15,26,122,27,107,83,11,55,35,75,23,57,22,72,43,115,13,3,16,31,43,45,49,6,45,62,63,44,0,153,0,1,9,4,5,0,121,16,5,12,1,4,1,14,9,2,11,2,2,9,86,1,190,0
"10",0,4,173,1,0,0,1,3,4,4,1,28,13,4,1,0,12,2,1,11,5,15,26,4,0,1,9,20,15,15,5,13,3,3,5,44,91,2,5,0,3,2,6,14,7,209,16,1052,384,1,22,0,0,12,4,18,5,13,411,0,2,10,340,101,0,180,0,814,890,103,12,18,0,0,2,2,3,0,0,17,375,9,9,0,80,6,3,3,7,19,10,2,5,10,1,1,1,0,1,7,23,1,3,4,2,0,18,412,68,0,0,1,12,25,4,0,50,11,43,6,47,0,0,0,11,12,24,12,5,9,0,2,5,6,2,14,7,27,55,4,7,0,0,9,0,0,34,11,12,1,1,0,61,8,11,5,1,3,2,7,0,1,0,10,1,4,3,4,5,2,1,0,2,1,0,3,10,16,1,0,5,3,0,18,3,19,21,13,11,1,17,3,0,0,4,2,2,0,5,5,0,3,374,13,2,13,1,101,89,22,10,6,8,21,4,0,0,488,908,75,2,1,9,0,15,6,2,2089,949,13,1,5,6,6,1,213,27,115,105,16,58,63,11,16,24,34,66,34,14,86,20,8,37,163,48,92,89,27,113,27,97,18,66,38,74,66,124,37,16,33,25,88,60,73,9,50,64,83,58,2,32,0,0,5,3,9,0,134,41,8,4,5,10,15,15,10,9,11,10,2,23,237,3,248,0
